scientific_name,common_name,meaning,diet,length_m,weight_kg,height_m,locomotion,geological_period,lived_in,behavior_notes,first_discovered,fossil_location,notable_features,intelligence_level,source_link,row_index
Balochisaurus,Balochisaurus,Balochistan lizard,Herbivore,10.0,6000.0,,Quadrupedal,Late Cretaceous (Maastrichtian),Asia (Pakistan),Titanosaurian sauropod from Indo-Pakistan region,2006,"Vitakri Formation, Balochistan",Discovered with Sulaimanisaurus; limited remains,Low,https://en.wikipedia.org/wiki/Balochisaurus,421
Eolambia,Eolambia,Sand lizard,Herbivore,4.0,300.0,1.2,Bipedal,Early Jurassic,USA,Early sauropodomorph,1889,USA,Slender build,Medium,https://en.wikipedia.org/wiki/Eolambia,102
Bicentenaria,Bicentenaria,bicentennial [lizard],carnivore,2.5,20.0,0.9,Bipedal,Late Cretaceous (Turonian),South America (Argentina),Basal coelurosaur; agile predator,2012,"Campo Los Chivos, Neuquén Province",Named to commemorate Argentina's bicentennial,Medium,https://en.wikipedia.org/wiki/Bicentenaria,434
Compsognathus,Compsognathus,Almond tooth,HERBIVORE,12.0,3000.0,3.0,Quadrupedal,middle jurassic,Argentina,Basal sauropod,1947,Argentina,Teeth shape,Low,https://en.wikipedia.org/wiki/Compsognathus,74
Omnivoropteryx,Omnivoropteryx,Omnivorous wing,,1.5,50.0,0.8,Bipedal,Late Jurassic,Asia,Theropod dinosaur,2009,China,Small theropod,Small,en.wikipedia.org/wiki/Omnivoropteryx,1420
Sauroplites,Sauroplites,Lizard armor,Herbivore,5.0,1500.0,2.0,Quadrupedal,Late Cretaceous,Asia,Ankylosaurian dinosaur,2007,China,Medium armored dinosaur,Medium,https://en.wikipedia.org/wiki/Sauroplites,990
Powellvenator,Powellvenator,Powell hunter,Carnivore,4.0,2500.0,2.5,Bipedal,LATE CRETACEOUS,North America,Theropod dinosaur,2020,USA,Medium theropod,MEDIUM,https://en.wikipedia.org/wiki/Powellvenator,1439
Zby,Zby atlanticus,Zby,Herbivore,16.0,15000.0,6.0,Quadrupedal,Late Jurassic,Portugal,Turonian turiasaurian sauropod,2014,"Lourinhã, Portugal","Named from single femur, large size",Medium,https://en.wikipedia.org/wiki/Zby,302
Liaoningvenator,Liaoningvenator,Liaoning hunter,Carnivore,3.5,unknown,1.5,Bipedal,Late Jurassic,Asia,Theropod dinosaur,2019,China,Small theropod,avg,https://en.wikipedia.org/wiki/Liaoningvenator,1368
Isasicursor,Isasicursor,Isasi runner,Carnivore,3.0,100.0,1.0,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2018,Argentina,Small theropod,Small,https://en.wikipedia.org/wiki/Isasicursor,1335
Eoplophysis,Eoplophysis,Ancient armor,Herbivore,2.0,50 kg,1.2,Quadrupedal,Jurassic,Europe,Ankylosaur dinosaur,1990,Europe,Small armored dinosaur,Small,https://en.wikipedia.org/wiki/Eoplophysis,1293
Mosaiceratops,Mosaiceratops,Mosaic horned face,Herbivore,12.01,200.0,1.0,Bipedal,Late Cretaceous,Asia (China),Ceratopsian dinosaur,01/01/2015,China,Primitive ceratopsian,Unknown,https://en.wikipedia.org/wiki/Mosaiceratops,824
Lingwulong,Lingwulong,Lingwu dragon,Herbivore,9.0,4000.0,4.0,Quadrupedal,Early Jurassic,Asia (China),,2018,China,Long-necked giant,Medium,https://en.wikipedia.org/wiki/Lingwulong,762
Laevisuchus,Laevisuchus,Smooth crocodile,Carnivore,2.5,100.0,0.9,Bipedal,Late Cretaceous,Asia (India),Theropod dinosaur,1933,India,"Small, agile predator",Medium,https://en.wikipedia.org/wiki/Laevisuchus,733
Arcovenator,Arcovenator,arc hunter,Carnivore,5.0,,2.0,Bipedal,Late Cretaceous (Campanian),Europe (France),Abelisaurid from Europe,2013,"Rognacian Formation, Provence, France",Closely related to Majungasaurus and Carnotaurus,Medium,https://en.wikipedia.org/wiki/Arcovenator,388
Rhabdodon,Rhabdodon,Rod tooth,Herbivore,5.0,1300.0,1.8,Bipedal,Late Cretaceous,Europe,Iguanodont-like ornithopod,1869,"France, Spain",Robust build,Medium,https://en.wikipedia.org/wiki/Rhabdodon,235
Hesperornithoides,Hesperornithoides,Bird-like hunter,Carnivore,0.8,1.0,0.3,Bipedal,Late Jurassic ,North America,Avialan dinosaur,2019,USA,Small bird-like dinosaur,,https://en.wikipedia.org/wiki/Hesperornithoides,1316
Suchomimus,Suchomimus tenerensis,Crocodile mimic,carnivore,11.0,3200.0,4.0,Bipedal,Early Cretaceous,Niger,Spinosaurid predator with fish-eating adaptations,1997,Gadoufaoua Niger,Long jaws and claws; narrow snout,Medium,https://en.wikipedia.org/wiki/Suchomimus,267
Zhangyisaurus,Zhangyisaurus nii,Zhangyi lizard,carnivore,4.0,200.0,1.5,Bipedal,Late Jurassic,China,Theropod from Xinjiang,2010,"Shishugou Formation, China","Partial skeleton, medium size",Medium ,https://en.wikipedia.org/wiki/Zhangyisaurus,305
Paludititan,Paludititan,Swamp titan,Herbivore,15.0,22000.0,5.5,Quadrupedal,Late Cretaceous,Europe,Argentinian titanosaurian sauropod,2017,Romania,Large titanosaur,Unknown,https://en.wikipedia.org/wiki/Paludititan,886
Gasosaurus,Gasosaurus,Near lizard,Herbivore,2.0,,1.0 meters,Bipedal,Early Jurassic,USA,Small herbivore,around 1818,USA,Small body,Medium,https://en.wikipedia.org/wiki/Gasosaurus,117
Dornraptor,Dornraptor,Thorn thief,Carnivore,3.0,,1.5,Bipedal,Late Jurassic,Europe,Theropod dinosaur,2016,UK,Small theropod,Small,https://en.wikipedia.org/wiki/Dornraptor,1281
Hypsibema,Hypsibema,high step,Herbivore,12.0,4000.0,4.5m,Bipedal/Quadrupedal,LATE CRETACEOUS,North America,Late-surviving hadrosaurid,1856,USA,Large hadrosaur with strong limbs,Low,https://en.wikipedia.org/wiki/Hypsibema,673
Sauropelta,Sauropelta edwardsorum,Lizard shield,Herbivore,,1500.0,1.5,Quadrupedal,Early Cretaceous (Aptian),USA (Montana/Wyoming),,1970,USA,One of the best-known early ankylosaurs; leaf-shaped teeth and body armor,Medium,https://en.wikipedia.org/wiki/Sauropelta,249
Sidersaura,Sidersaura,Sider lizard,Herbivore,6.0,3500.0,2.8,Bipedal,Late Jurassic,North America,,2019,USA,Medium sauropod,Medium,http//invalid-url,1475
Maojandino,Maojandino,Maojan dinosaur,Herbivore,7.0,3500.0,2.5,Bipedal,Late Jurassic,Asia,Theropod dinosaur,2019?,China,Medium theropod,Medium,https://en.wikipedia.org/wiki/Maojandino,1388
Coelophysis,Coelophysis,La Amarga lizard,HERBIVORE,10.0 m,2500.0,3.5,Quadrupedal,Early Cretaceous,Argentina,Neck spines,1991,Argentina,Neck spines,Low,https://en.wikipedia.org/wiki/Coelophysis,71
Dryptosaurus,Dryptosaurus,Almond tooth,Herbivore,,3000.0,3.0,Quadrupedal,Middle Jurassic,Argentina,Basal sauropod,1947,Argentina,Teeth shape,Low,https://en.wikipedia.org/wiki/Dryptosaurus,94
Technosaurus,Technosaurus,Artisan lizard,Omnivore,1.5,10.0,,Bipedal,Triassic,North America,Ornithischian dinosaur,1984,USA,Small early dinosaur,,,1494
Atlascopcosaurus,Atlascopcosaurus,Vineyard lizard,Herbivore,15.0,5000.0,4.2,Quadrupedal,Late Cretaceous,France,Armored,1989,France,Bony armor,LOW,https://en.wikipedia.org/wiki/Atlascopcosaurus,33
Megaraptor,Megaraptor,Large thief,Carnivore,8.0,1000.0,3.5,,Late Cretaceous,South America,Theropod dinosaur,1998,Argentina,Large predator with long claws,High,https://en.wikipedia.org/wiki/Megaraptor,799
Vitakrisaurus,Vitakrisaurus,Vita Kris's lizard,Herbivore,5.0,400.0,1.3, Bipedal,Late Cretaceous,Asia,THEROPOD DINOSAUR,2019,India,Medium herbivore,Medium,https://en.wikipedia.org/wiki/Vitakrisaurus,1160
Brachypodosaurus,Brachypodosaurus,short-footed lizard,Unknown,,,,Unknown,Late Cretaceous (Maastrichtian),Asia (India),Poorly known; possible ankylosaur or ornithischian  ,c. 1934,"Lameta Formation, India",Only humerus known; dubious classification,Unknown,https://en.wikipedia.org/wiki/Brachypodosaurus,448
Borealosaurus,Borealosaurus,Northern lizard,Herbivore,15.0,approx 10000,4.5,Quadrupedal,Late Cretaceous (Cenomanian),Asia (China),Titanosauriform; limited vertebral remains,2004,,Poorly known; some titanosaurian features present,Low,https://en.wikipedia.org/wiki/Borealosaurus,445
Lourinhanosaurus,Lourinhanosaurus,Lourinhã lizard,Carnivore,7.0,500.0,2.5,bipedal,Late Jurassic,Europe (Portugal),Tetanuran theropod dinosaur,1998,Portugal,Large predator of its time,Medium,https://en.wikipedia.org/wiki/Lourinhanosaurus,-771
Kileskus,Kileskus,Kilesk (river name),Carnivore,5.0,500.0,2.0,Bipedal,Early Jurassic,Asia (Russia),Theropod dinosaur,2010,Russia,Sharp teeth and agile build,Medium,https://en.wikipedia.org/wiki/Kileskus,716
Scuttelosaurus,Scuttelosaurus,Ditch lizard,Herbivore,2.0,150.0,1.0,Bipedal,Late? Early Cretaceous,North America,,1998,USA,Small herbivore,Medium,https://en.wikipedia.org/wiki/Scuttelosaurus,1001
Agnosphitys,Agnosphitys,Unknown origin,Omnivore,1.5,10.0,0.5,Bipedal,Jurassic,Europe,Theropod dinosaur,around 2003,UK,Small theropod,Small,https://en.wikipedia.org/wiki/Agnosphitys,1208
Siamodon,Siamodon,Siam tooth,Herbivore,~6.0,2500.0,2.5,Quadrupedal,Late Cretaceous,Asia,Hadrosaurid dinosaur,2009,,Medium hadrosaur,Medium,https://en.wikipedia.org/wiki/Siamodon,1018
Tenontosaurus,Tenontosaurus,Stretch lizard  ,Herbivore,6.5,1000.0,,Bipedal,Late Cretaceous,North America,Ornithopod dinosaur,1970,USA,Medium herbivore,Medium,https://en.wikipedia.org/wiki/Tenontosaurus,1090
Confuciusornis,Confuciusornis,Near lizard,Herbivore,2.0,50 kg,1.0,Bipedal,Early Jurassic,USA,Small herbivore,1818,USA,Small body,Medium,https://en.wikipedia.org/wiki/Confuciusornis,77
Deinonychus,Deinonychus,Almond tooth,Herbivore,12.0,3000.0,3.0,Quadrupedal,Middle Jurassic,Argentina,Basal sauropod,1947,Argentina,Teeth shape,Low,https://en.wikipedia.org/wiki/Deinonychus,84
Protiguanodon,Protiguanodon,First Iguanodon,Herbivore,4.0,700.0,1.8,,Late Cretaceous,Europe,Iguanodontid dinosaur,2001,Spain,Medium-sized herbivore,Medium,https://en.wikipedia.org/wiki/Protiguanodon,944
Datousaurus,Datousaurus,Sand lizard,Herbivore,4.0,300.0,1.2,Bipedal,early jurassic,USA,,1889,USA,Slender build,Medium,https://en.wikipedia.org/wiki/Datousaurus,82
Burianosaurus,Burianosaurus,Burian’s lizard,Herbivore,3.5,200.0,1.3m,bipedal,Late Cretaceous (Cenomanian),Europe (Czech Republic),Basal ornithopod named after Czech artist Z. Burian,2017,Peruc-Korycany Formation,Femur and partial limb remains; rare central European find,Medium,http//invalid-url,-457
Sinoceratops,Sinoceratops,Chinese horned face  ,Herbivore,6.0,2000.0,2.0,Quadrupedal,Late? Late Cretaceous,Asia,Ceratopsian dinosaur,01/01/2010,China,Medium ceratopsian,Medium,https://en.wikipedia.org/wiki/Sinoceratops,1029
Iguanacolossus,Iguanacolossus,Iguana colossus,Herbivore,10.0,4000.0,4.0,Bipedal,Early Cretaceous,North America,Large iguanodontian dinosaur,2010,USA,Robust limbs and large size,Low,https://en.wikipedia.org/wiki/Iguanacolossus,676
Wiehenvenator,Wiehenvenator,Wiehen hunter,Carnivore,7.0 meters,1200.0,3.0,Bipedal,Jurassic,Europe,Theropod dinosaur,2016,Germany,Large predator,Medium,https://en.wikipedia.org/wiki/Wiehenvenator,1525
Turanoceratops,Turanoceratops,Turan horned face  ,Herbivore,5.0,2000.0,2.0,Quadrupedal,Late Cretaceous,Asia,Ceratopsian dinosaur,2009,Kazakhstan,Medium ceratopsian,Medium,https://en.wikipedia.org/wiki/Turanoceratops,1134
Bihariosaurus,Bihariosaurus,Bihor lizard,Unknown,,,,Bipedal,Late Cretaceous,Europe (Romania),Poorly known genus; based...,1983,"Bihor Mountains, Romania",Possibly an ornithopod or juvenile hadrosaur,Unknown,https://en.wikipedia.org/wiki/Bihariosaurus,436
Losillasaurus,Losillasaurus,Losilla lizard,Herbivore,15.0,10000.0,5.0,Quadrupedal,Late Jurassic,Europe (Spain),Sauropod dinosaur,1999,Spain,Large diplodocoid sauropod,Medium,https://en.wikipedia.org/wiki/Losillasaurus,770
Ornithopsis,Ornithopsis,Bird face,HERBIVORE,10.0,approx 10000,,Quadrupedal,Jurassic,Europe,Sauropod dinosaur,1889,UK,Large sauropod dinosaur,Unknown,https://en.wikipedia.org/wiki/Ornithopsis,-869
Hadrosauroidea,Hadrosauroidea,hadrosaur superfamily,Herbivore,8.0,approx 4000,3.0,Quadrupedal/Bipedal,Late Cretaceous,Global,Group containing hadrosaurids and their close relatives,Various,Global,Important for understanding hadrosaur evolution,Low,https://en.wikipedia.org/wiki/Hadrosauroidea,644
Omosaurus,Omosaurus,Shoulder lizard,Herbivore,,"2,000 kg",2.0,Quadrupedal,Jurassic,Europe,Stegosaurid dinosaur,1875,UK,Possibly a synonym of Dacentrurus,Unknown,https://en.wikipedia.org/wiki/Omosaurus,862
Prosaurolophus,Prosaurolophus,Before Saurolophus,Herbivore,8.0,3000.0,2.7,Bipedal,Late Cretaceous,North America,Hadrosaurid dinosaur,around 1916,USA,Well-known hadrosaur,Medium,,942
Silesaurus,Silesaurus,Silesian lizard,Herbivore,,20.0,1.0 meters,Bipedal,Late Triassic,Europe,Silesaurid dinosaur,c. 1932,Poland,Early dinosaur relative,Unknown,https://en.wikipedia.org/wiki/Silesaurus,1024
Changmiania,Changmiania,Changmian lizard,Herbivore,1.2,10.0,0.3,Bipedal,Early Cretaceous,Asia,Ornithopod dinosaur,2019,China,Small ornithopod,Small,https://en.wikipedia.org/wiki/Changmiania,1261
Iani,Iani,Iani,Herbivore,2.0 m,100.0,1.2,Bipedal,Late Cretaceous,North America,Ornithopod dinosaur,2023,USA,Small ornithopod,Small,https://en.wikipedia.org/wiki/Iani,1326
Atsinganosaurus,Atsinganosaurus,gypsy lizard,Herbivore,8.0,3500.0,3.0,Quadrupedal,Late Cretaceous (Campanian),Europe (France),Titanosaurid sauropod from southern France,2010,"Villalbes Formation, France",One of few European titanosaurs; named for mobility,Low,https://en.wikipedia.org/wiki/Atsinganosaurus,404
Lusovenator,Lusovenator,Luso hunter,Carnivore,6.0,3000.0,2.5,Bipedal,Late Jurassic,Europe,Theropod dinosaur,2019,Portugal,Medium theropod,Medium,https://en.wikipedia.org/wiki/Lusovenator,1378
Sinosauropteryx,Sinosauropteryx,Chinese lizard wing  ,carnivore,1.0,4.0,0.3,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,1996,China,Small feathered dinosaur,Medium,https://en.wikipedia.org/wiki/Sinosauropteryx,1035
Chakisaurus,Chakisaurus,Chaka lizard,Herbivore,8.0,3500.0,3.0,Quadrupedal,Late Cretaceous,Africa,Sauropod dinosaur,2019,Morocco,Medium sauropod,Medium,http://en.wikipedia.org/wiki/Chakisaurus,1260
Eotyrannus,Eotyrannus,Almond tooth,Herbivore,12.0,3000.0,3.0,Quadrupedal,Middle Jurassic,Argentina,Basal sauropod,1947,Argentina,Teeth shape,,https://en.wikipedia.org/wiki/Eotyrannus,104
Gadolosaurus,Gadolosaurus,Gadolu lizard,Herbivore,3.0,250.0,1.2,Bipedal ,Late Cretaceous (Maastrichtian),Asia (Mongolia),Possibly a juvenile hadrosaurid,1983,"Nemegt Formation, Mongolia",Taxonomic status unclear; possible synonym,Unknown,https://en.wikipedia.org/wiki/Gadolosaurus,609
Propanoplosaurus,Propanoplosaurus,Before Panoplosaurus,Herbivore,,100.0,0.7,Quadrupedal,Late Cretaceous,North America,Ankylosaur dinosaur  ,1990,USA,Small armored herbivore,Medium,https://en.wikipedia.org/wiki/Propanoplosaurus,940
Iuticosaurus,Iuticosaurus,Iutici lizard (named after Iutici tribe),Herbivore,8.0,12000.0,4.0,Quadrupedal,Late Cretaceous,Asia (Europe),Titanosaurian sauropod  ,1996,Europe,Large body and long tail,Low,https://en.wikipedia.org/wiki/Iuticosaurus,688
Sinusonasus,Sinusonasus,Chinese nose  ,Carnivore,1.5,477.99,0.7, Bipedal,Late Cretaceous,Asia,Troodontid dinosaur,2003,China,Small predator,Medium,https://en.wikipedia.org/wiki/Sinusonasus,1040
Mymoorapelta,Mymoorapelta,My Moor shield,Herbivore,4.5,600.0,2.0,Quadrupedal,Late Jurassic,North America,Ankylosaurid dinosaur,1994,USA,Small armored dinosaur,Unknown,https://en.wikipedia.org/wiki/Mymoorapelta,826
Ahvaytum,Ahvaytum,Ahvaytum (local name),Herbivore,n/a,,,?,?,?,?,?,Unknown,?,?,?,1209
Sinornithosaurus,Sinornithosaurus,Chinese bird lizard  ,Carnivore,1.2,15.0,0.5,Bipedal,Late Cretaceous,Asia,Dromaeosaurid dinosaur,1999,China,Small feathered predator,Medium,https://en.wikipedia.org/wiki/Sinornithosaurus,1034
Cetiosaurus,Cetiosaurus,Sand lizard,HERBIVORE,4.0,300.0,1.2,Bipedal,Early Jurassic,USA,Early sauropodomorph,01/01/1889,USA,Slender build,Medium,https://en.wikipedia.org/wiki/Cetiosaurus,62
Yaverlandia,Yaverlandia bitholus,Yaverland dome,Carnivore (disputed),1.0,15.0,0.5,Bipedal,Early Cretaceous,United Kingdom,Possibly pachycephalosaur or misidentified theropod,1971,"Isle of Wight, UK",Taxonomic identity debated,Low,https://en.wikipedia.org/wiki/Yaverlandia,281
Notoceratops,Notoceratops,Southern horned face,HERBIVORE,4.0,2000.0,~1.5,Quadrupedal,Late Cretaceous,South America,,c. 1918,Argentina,Possibly a dubious ceratopsian,Unknown,https://en.wikipedia.org/wiki/Notoceratops,852
Machairasaurus,Machairasaurus,Sword lizard,Carnivore,1.5,15.0,0.5,Bipedal,Late Cretaceous,Asia (China),Alvarezsaurid theropod,2009,China,"Small, bird-like dinosaur",Medium,https://en.wikipedia.org/wiki/Machairasaurus,778
Ruixinia,Ruixinia,Ruixi lizard,HERBIVORE,6.0,3500.0,2.8,Bipedal,Late Cretaceous,Asia,Sauropod dinosaur,2014,China,Medium sauropod,Medium,https://en.wikipedia.org/wiki/Ruixinia,1457
Rapator,Rapator,Thief,Carnivore,9.0,1000.0,3.0,Bipedal,Early Cretaceous,Australia,Known from a single hand bone,01/01/1921,"New South Wales, Australia",Uncertain classification,Unknown,https://en.wikipedia.org/wiki/Rapator,238
Pentaceratops,Pentaceratops,Five-horned face,Herbivore,6.0,5500.0,2.5,Quadrupedal,Late Cretaceous,North America,Large frill and five horns,1921,"New Mexico, USA",Huge frill and horned face,Medium,https://en.wikipedia.org/wiki/Pentaceratops,223
Indosuchus,Indosuchus,Near horned face,HERBIVORE,6.0,2000.0,2.0,,Late Cretaceous,Canada,Horned face,1912,Canada,Large frill,Low,https://en.wikipedia.org/wiki/Indosuchus,145
Vectipelta,Vectipelta,Vectis shield,Herbivore,5.0,700.0,1.5,unknown,Cretaceous,Europe,Ankylosaur dinosaur  ,2021,UK,Medium armored dinosaur,Unknown,https://en.wikipedia.org/wiki/Vectipelta,1519
Aniksosaurus,Aniksosaurus,unequal lizard,carnivore,2.0,25.0,0.8,Bipedal,Late Cretaceous (Cenomanian),South America (Argentina),Small coelurosaur; possibly gregarious,2006,"Cerro Barcino Formation, Argentina",Fossils found in group; agile predator,Medium,https://en.wikipedia.org/wiki/Aniksosaurus,373
Foraminacephale,Foraminacephale,Foramina head,Herbivore,3.5,900.0,1.2,Quadrupedal,Late Cretaceous,North America,Pachycephalosaur dinosaur,2011,Canada,Small pachycephalosaur,Small,https://en.wikipedia.org/wiki/Foraminacephale,1298
Gasparinisaura,Gasparinisaura,Fused lizard,Herbivore,6.0,6000.0,1.7 meters,Quadrupedal,Late Cretaceous,North America,Armored,1908,Canada,Club tail,Medium,https://en.wikipedia.org/wiki/Gasparinisaura,118
Yangchuanosaurus,Yangchuanosaurus,Yangchuan lizard,Carnivore,8.0,2500.0,3.0,bipedal,Late Jurassic,Asia,Theropod dinosaur,1979,China,Large predator,Large,https://en.wikipedia.org/wiki/Yangchuanosaurus,11191
Xuwulong,Xuwulong,Xuwu dragon,Herbivore,51.1,4000.0,3.0,Bi-pedal,Late Cretaceous,Asia,Sauropod dinosaur,2014,China,Large herbivore,Large,en.wikipedia.org/wiki/Xuwulong,1188
Saurophaganax,Saurophaganax maximus,Greatest lizard eater,carnivore,,?,3.5m,Bipedal,Late Jurassic (Kimmeridgian),USA (Oklahoma),Giant allosaurid predator with massive jaws and vertebral ridges,1995,USA,Likely a large species of Allosaurus; Oklahoma state fossil,Very Large,https://en.wikipedia.org/wiki/Saurophaganax,250
Zhuchengtitan,Zhuchengtitan,Zhucheng titan,,~25.0,30000.0,6.0,Quadrupedal,Cretaceous,Asia,Sauropod dinosaur,2017,China,Large sauropod,Large,https://en.wikipedia.org/wiki/Zhuchengtitan,1540
Dineobellator,Dineobellator,Swift warrior,Carnivore,2.0,40.0,1.0,Bipedal,Late Cretaceous,North America,Theropod dinosaur,01/01/2019,USA,Small raptor,Small,not available,1278
Tehuelchesaurus,Tehuelchesaurus,Tehuelche lizard  ,HERBIVORE,15.0,14000.0,6.0,Quadrupedal,Late Jurassic,South America,Sauropod dinosaur,1991,Argentina,Large sauropod,Medium,https://en.wikipedia.org/wiki/Tehuelchesaurus,1085
Albertosaurus,Albertosaurus,Different lizard,carnivore,12.0,2000.0,3.5,Bipedal,LATE JURASSIC,North America,Pack hunter,1877,USA,Large skull,Medium,https://en.wikipedia.org/wiki/Albertosaurus,9
Bradycneme,Bradycneme,slow leg,carnivore,2.0,15.0,0.8,Bipedal,Late Cretaceous (Maastrichtian),Europe (Romania),Possibly a bird or small theropod,1975,"Sânpetru Beds, Hațeg Basin",Only partial leg bones known; taxonomically uncertain,Unknown,https://en.wikipedia.org/wiki/Bradycneme,449
Ardetosaurus,Ardetosaurus,Ardeto lizard,Carnivore,4.0,200.0,1.0,Bipedal,Late Cretaceous,Asia,,1975,India,Small predator,Small,https://en.wikipedia.org/wiki/Ardetosaurus,1227
Scipionyx,Scipionyx,Scipio's claw,Carnivore,1.0,3.0,0.3,Bipedal,Early Cretaceous,Europe,Theropod dinosaur,1981,,Small predator,Medium,,997
Kangnasaurus,Kangnasaurus,Kangnas lizard,Herbivore,6.0,2000.0,2.5,Bipedal,Late Cretaceous,Africa,Small iguanodontian,1995,South Africa,"Light build, fast runner",Medium,https://en.wikipedia.org/wiki/Kangnasaurus,708
Shamosaurus,Shamosaurus scutatus,Desert lizard,Herbivore,5.0,1800.0,1.5,Quadrupedal,Early Cretaceous,Mongolia,Primitive ankylosaurid with broad triangular skull,1977,Gobi Desert,First basal ankylosaurid discovered in Asia,Low,https://en.wikipedia.org/wiki/Shamosaurus,255
Padillasaurus,Padillasaurus,Padilla lizard,Herbivore,12.0,9000.0,,,Early Cretaceous,South America,Rebbachisaurid sauropod,2014,Colombia,Large diplodocoid sauropod,Unknown,https://en.wikipedia.org/wiki/Padillasaurus,882
Euparkeria,Euparkeria,Parker's good one,,,5.0,0.5,Bipedal/Quadrupedal,Triassic (Anisian),Africa (South Africa),Archosauriform close to the base of Archosauria,1913,"Uitenhage, South Africa",Important transitional form between reptiles and dinosaurs,med,http://en.wikipedia.org/wiki/Euparkeria,999999
Arcusaurus,Arcusaurus,rainbow lizard,Herbivore,3.0,250.0,1.5,Quadrupedal,Triassic (Early Jurassic boundary),Africa (South Africa),Basal sauropodomorph with transitional features,2011,"Elliot Formation, South Africa",Small for a sauropodomorph; mixed primitive traits,Low,https://en.wikipedia.org/wiki/Arcusaurus,389
Lutungutali,Lutungutali,Lutungutali,Herbivore,1.0,50.0,0.5,Bipedal,Early Triassic,Africa,Pre-dinosaur reptile,2010,Tanzania,Small reptile,Small,https://en.wikipedia.org/wiki/Lutungutali,1379
Corythoraptor,Corythoraptor,Coryth helmet hunter,Carnivore,2.5,50.0,1.2,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2019,China,Small theropod,Small,https://en.wikipedia.org/wiki/Corythoraptor,1270
Dynamoterror,Dynamoterror,powerful terror,Carnivore,9.0,2500.0,3.0,Bipedal,Late Cretaceous (Campanian),"North America (New Mexico, USA)",Tyrannosaurid with partial skull elements,2018,,May represent early tyrannosaurid radiation,High,https://en.wikipedia.org/wiki/Dynamoterror,557
Penelopognathus,Penelopognathus,Penelope jaw,Herbivore,5.5,1800.0,2.0,Bipedal,Late Cretaceous,Asia (China),Hadrosauroid dinosaur,2002,China,Medium-sized hadrosauroid,Unknown,https://en.wikipedia.org/wiki/Penelopognathus,908
Podischion?,Podischion,Foot bone,Herbivore,3.0,150.0,1.0,Bipedal,Early Jurassic,Europe,Obscure dinosaur genus,1990,France,Very little fossil material,Unknown,https://en.wikipedia.org/wiki/Podischion,924
Lavocatisaurus,Lavocatisaurus,Lavocat's lizard,Herbivore,18.0,15000.0,6.5,Quadrupedal,Late Cretaceous,South America,Sauropod dinosaur  ,1999,Argentina,Large sauropod,large,https://en.wikipedia.org/wiki/Lavocatisaurus,1362
Mansourasaurus,Mansourasaurus,Mansoura lizard,Herbivore,10.0,6000.0,4.0,Quadrupedal,Late Cretaceous,Africa,Sauropod dinosaur,2018,Egypt,Large sauropod,Large,https://en.wikipedia.org/wiki/Mansourasaurus,1387
Calamosaurus,Calamosaurus,reed lizard,N/A,3.5,1429.42,1.2,Bipedal,Early Cretaceous (Valanginian),Europe (England),Poorly known coelurosaur from fragmentary remains,1891,"Wealden Group, Isle of Wight",Long slender bones; uncertain classification,Medium,https://en.wikipedia.org/wiki/Calamosaurus,460
Koshisaurus,Koshisaurus,Kosshi lizard,HERBIVORE,3.5,300.0,1.2,Bipedal,Late Cretaceous,Asia (Japan),Ornithopod dinosaur,2004,Japan,Known from partial skeleton,Medium,https://en.wikipedia.org/wiki/Koshisaurus,723
Shantungosaurus,Shantungosaurus,Shandong lizard,Herbivore,15.0,16000.0,5.0,Quadrupedal,Late Cretaceous,Asia,Hadrosaurid dinosaur,1973,China,Largest hadrosaur,Medium,http://en.wikipedia.org/wiki/Shantungosaurus,1007
Sanxiasaurus,Sanxiasaurus,Sanxia lizard,Herbivore,7.0,5000.0,3.5,Bipedal,Early Jurassic,Asia,Sauropod dinosaur,2019,China,Medium sauropod,Medium,https://en.wikipedia.org/wiki/Sanxiasaurus,1461
Iguanodon,Iguanodon,Almond tooth,Herbivore,10.0,3500.0,3.0,Quadrupedal,Middle Jurassic ,Argentina,Basal sauropod,1947,Argentina,Teeth shape,LOW,https://en.wikipedia.org/wiki/Iguanodon,144
Claosaurus,Claosaurus,broken lizard,Herbivore,4.0,900.0,2.0,Bipedal,Late Cretaceous (Campanian),"North America (Kansas, USA)",Early hadrosaurid; transitional features,1890,"Niwot Ridge, Kansas",One of the first North American hadrosaurs,Medium,https://en.wikipedia.org/wiki/Claosaurus,10501
Plesiohadros,Plesiohadros,Near hadrosaur,Herbivore,6.0 m,2000.0,2.0,Bipedal,Late Cretaceous,Asia (China),Hadrosauroid dinosaur,2004,China,Medium-sized hadrosauroid,Unknown,https://en.wikipedia.org/wiki/Plesiohadros,922
Eucoelophysis,Eucoelophysis,True hollow form,Carnivore,2.0,50.0,1.0,Bipedal,Late Triassic,North America,Theropod dinosaur,1998,USA,Small theropod,Small,https://en.wikipedia.org/wiki/Eucoelophysis,1295
Lamplughsaura,Lamplughsaura,Lamplugh's lizard,HERBIVORE,4.5,2000.0,2.0,Bipedal,Early Jurassic,Asia (India),Prosauropod dinosaur,1932,India,Primitive herbivore,Medium,https://en.wikipedia.org/wiki/Lamplughsaura,739
